BXS,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
BXT,ID,2,,,+0800,
BYA,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
BYQ,ID,2,,,+0800,
BYW,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
BYX,AU,3A,,,+0930,
BZD,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
BZN,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
BZU,CD,2,,,+0200,
CAD,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CAE,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CAK,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CAZ,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CBE,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CBN,ID,1,,,+0700,
CBP,PT,1,03/28/2021 01:00,10/31/2021 01:00,+0000,+0100
CBR,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CBX,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CBZ,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CCB,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CCG,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CCR,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CDA,AU,3A,,,+0930,
CDB,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CDC,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CDH,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CDJ,BR,1A,,,-0300,
CDL,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CDQ,AU,2B,,,+1000,
CDR,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CDV,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CEC,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CED,AU,3,10/03/2020 04:30,04/03/2021 04:30,+0930,+1030
CEF,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CEK,RU,4,,,+0500,
CEM,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CEN,MX,2,04/04/2021 09:00,10/31/2021 08:00,-0700,-0600
CES,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CEU,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CEY,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CEZ,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CFA,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CFS,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CGA,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CGC,PG,1,,,+1000,
CGF,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CGI,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CGK,ID,1,,,+0700,
CGX,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CHA,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CHC,NZ,1,09/26/2020 02:00,04/03/2021 02:00,+1200,+1300
CHD,US,3A,,,-0700,
CHI,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CHO,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CHP,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CHS,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CHT,NZ,2,09/26/2020 02:00,04/03/2021 02:00,+1245,+1345
CHU,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CHV,PT,1,03/28/2021 01:00,10/31/2021 01:00,+0000,+0100
CIB,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CIC,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CID,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CIK,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CIL,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CIT,KZ,1,,,+0500,
CIU,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CIV,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CJS,MX,2,04/04/2021 09:00,10/31/2021 08:00,-0700,-0600
CKB,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CKD,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CKS,BR,1A,,,-0300,
CKV,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CKX,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CLC,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CLD,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CLE,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CLK,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CLL,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CLM,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CLN,BR,1A,,,-0300,
CLP,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CLQ,MX,1,04/04/2021 08:00,10/31/2021 07:00,-0600,-0500
CLT,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CMA,AU,2B,,,+1000,
CMD,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CME,MX,1,04/04/2021 08:00,10/31/2021 07:00,-0600,-0500
CMH,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CMI,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CMP,BR,1A,,,-0300,
CMQ,AU,2B,,,+1000,
CMU,PG,1,,,+1000,
CMX,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CNB,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CNC,AU,2B,,,+1000,
CNJ,AU,2B,,,+1000,
CNM,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CNP,GL,3,03/28/2021 01:00,10/31/2021 01:00,-0100,+0000
CNS,AU,2B,,,+1000,
CNY,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
COD,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
COE,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
COJ,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
COS,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
COU,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
COV,PT,1,03/28/2021 01:00,10/31/2021 01:00,+0000,+0100
CPD,AU,3,10/03/2020 04:30,04/03/2021 04:30,+0930,+1030
CPE,MX,1,04/04/2021 08:00,10/31/2021 07:00,-0600,-0500
CPF,ID,1,,,+0700,
CPN,PG,1,,,+1000,
CPR,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CPV,BR,1A,,,-0300,
CRG,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CRP,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CRW,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CRX,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CSE,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CSG,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CSI,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CSY,RU,3,,,+0400,
CTH,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CTL,AU,2B,,,+1000,
CTM,MX,1,04/04/2021 08:00,10/31/2021 07:00,-0600,-0500
CTN,AU,2B,,,+1000,
CTW,US,3A,,,-0700,
CUD,AU,2B,,,+1000,
CUE,EC,1,,,-0500,
CUG,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CUL,MX,2,04/04/2021 09:00,10/31/2021 08:00,-0700,-0600
CUN,MX,1B,,,-0500,
CUQ,AU,2B,,,+1000,
CUU,MX,2,04/04/2021 09:00,10/31/2021 08:00,-0700,-0600
CUY,AU,4,,,+0800,
CVG,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
CVL,PG,1,,,+1000,
CVM,MX,1,04/04/2021 08:00,10/31/2021 07:00,-0600,-0500
CVN,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CVQ,AU,4,,,+0800,
CWA,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CWI,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
CWS,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CWT,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CWW,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CXF,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CXH,CA,6,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CXI,KI,2,,,+1400,
CXL,US,4,03/14/2021 10:00,11/07/2021 09:00,-0800,-0700
CXP,ID,1,,,+0700,
CXT,AU,2B,,,+1000,
CYF,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CYG,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
CYS,US,3,03/14/2021 09:00,11/07/2021 08:00,-0700,-0600
CZA,MX,1,04/04/2021 08:00,10/31/2021 07:00,-0600,-0500
CZF,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CZM,MX,1B,,,-0500,
CZN,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CZP,US,5,03/14/2021 11:00,11/07/2021 10:00,-0900,-0800
CZS,BR,3,,,-0500,
DAB,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
DAJ,AU,2B,,,+1000,
DAL,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
DAN,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
DAO,PG,1,,,+1000,
DAU,PG,1,,,+1000,
DAY,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
DBO,AU,2,10/03/2020 04:00,04/03/2021 04:00,+1000,+1100
DBP,PG,1,,,+1000,
DBQ,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
DBY,AU,2B,,,+1000,
DCA,US,1,03/14/2021 07:00,11/07/2021 06:00,-0500,-0400
DCN,AU,4,,,+0800,
DDC,US,2,03/14/2021 08:00,11/07/2021 07:00,-0600,-0500
DDI,AU,2B,,,+1000,
